Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8682387849, 2.22141060398;"{""type"": ""Point"", ""coordinates"": [2.221410603981162, 48.86823878485543]}";44914;SURESNES-LONGCHAMP;Suresnes Longchamp;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;591555.295;129760.681
48.9375098962, 2.35040001803;"{""type"": ""Point"", ""coordinates"": [2.35040001802801, 48.937509896199685]}";44937;THEATRE GERARD PHILIPE;Théâtre Gérard Philipe;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;601016.575;137457.297
48.8462772858, 2.42035081438;"{""type"": ""Point"", ""coordinates"": [2.420350814378168, 48.84627728580804]}";47247;SAINT-MANDE-TOURELLE;Saint-Mandé;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;606152.238;127315.504
48.8471584794, 2.41014036797;"{""type"": ""Point"", ""coordinates"": [2.410140367974107, 48.8471584794021]}";44528;PORTE DE VINCENNES;Porte de Vincennes;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RATP;0;1;605402.773;127412.712
48.8662858046, 2.32294341224;"{""type"": ""Point"", ""coordinates"": [2.322943412243542, 48.866285804583875]}";45676;CONCORDE;Concorde;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599003.69;129537.132
48.8828686476, 2.34413063372;"{""type"": ""Point"", ""coordinates"": [2.344130633722553, 48.88286864756839]}";42210;ANVERS;Anvers;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600557.871;131381.096
48.8247670255, 2.26053991367;"{""type"": ""Point"", ""coordinates"": [2.260539913667206, 48.824767025514404]}";43420;JACQUES-HENRI LARTIGUE;Jacques-Henri Lartigue;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;594420.914;124922.948
48.9078125468, 2.45435282652;"{""type"": ""Point"", ""coordinates"": [2.454352826517924, 48.90781254678193]}";47334;JEAN ROSTAND;Jean Rostand;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;608637.072;134161.581
48.8930946286, 2.48791098763;"{""type"": ""Point"", ""coordinates"": [2.487910987625008, 48.8930946286382]}";44603;LA REMISE A JORELLE;La Remise à Jorelle;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;611100.214;132529.331
48.8574714089, 2.22060356003;"{""type"": ""Point"", ""coordinates"": [2.220603560028727, 48.85747140891035]}";47370;LES COTEAUX;Les Coteaux;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;591494.243;128563.435
48.9024441906, 2.51169930327;"{""type"": ""Point"", ""coordinates"": [2.51169930327069, 48.902444190569966]}";46521;LES PAVILLONS-SOUS-BOIS;Les Pavillons-sous-Bois;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;612842.034;133572.772
48.9069318321, 2.43862449586;"{""type"": ""Point"", ""coordinates"": [2.43862449586348, 48.90693183212792]}";43805;LIBERATION;Libération;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;607484.293;134061.969
48.8191743291, 2.23859833779;"{""type"": ""Point"", ""coordinates"": [2.238598337792144, 48.819174329133155]}";44137;MEUDON-SUR-SEINE;Meudon-Sur-Seine;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;592809.065;124302.903
48.9047032038, 2.46997154361;"{""type"": ""Point"", ""coordinates"": [2.469971543614439, 48.90470320377428]}";44471;PONT DE BONDY;Pont de Bondy;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;609782.558;133817.726
48.8195005096, 2.34580358025;"{""type"": ""Point"", ""coordinates"": [2.34580358024881, 48.81950050955123]}";44892;STADE CHARLETY (PORTE DE GENTILLY);Stade Charléty;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;600681.385;124334.526
48.8822269008, 2.32127492677;"{""type"": ""Point"", ""coordinates"": [2.321274926766349, 48.88222690081934]}";44662;ROME;Rome;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;598881.655;131309.816
48.8804494561, 2.30945116799;"{""type"": ""Point"", ""coordinates"": [2.309451167991542, 48.8804494561385]}";44146;MONCEAU;Monceau;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;598014.436;131112.406
48.862949833, 2.387434951;"{""type"": ""Point"", ""coordinates"": [2.387434950999083, 48.862949833042585]}";44310;PERE LACHAISE;Père Lachaise;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;603735.223;129167.346
48.8738067339, 2.32699985888;"{""type"": ""Point"", ""coordinates"": [2.326999858880872, 48.87380673386256]}";58718;HAVRE-CAUMARTIN;Havre-Caumartin;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599301.394;130373.419
48.8828919175, 2.30905226455;"{""type"": ""Point"", ""coordinates"": [2.309052264550479, 48.88289191745413]}";59370;MALESHERBES;Malesherbes;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;597985.28;131384.02
48.8887060198, 2.28808363305;"{""type"": ""Point"", ""coordinates"": [2.288083633048504, 48.88870601977514]}";51613;LOUISE MICHEL;Louise Michel;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596447.895;132031.328
48.8837344657, 2.34963614827;"{""type"": ""Point"", ""coordinates"": [2.349636148269586, 48.88373446574697]}";42280;BARBES-ROCHECHOUART;Barbès-Rochechouart;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600961.621;131477.431
48.8623162796, 2.34567382821;"{""type"": ""Point"", ""coordinates"": [2.345673828211428, 48.8623162795949]}";417675;LES HALLES;Les Halles;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600671.31;129095.671
48.853718934, 2.33377613822;"{""type"": ""Point"", ""coordinates"": [2.333776138218468, 48.853718934000206]}";44799;SAINT-GERMAIN-DES-PRES;Saint-Germain-des-Près;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599798.35;128139.602
